DEPTH,GR,LLD,RHOB,NPHI,Formation,CORR GR,CORR LLD,CORR RHOB,CORR NPHI
3198.2,9.04,0.9788649843476569,2.599,0.077,Hod Fm. Top,9.04,0.9788649843476569,2.599,0.077
3198.3,9.933,0.9771746760201874,2.609,0.071,Hod Fm. Top,9.933,0.9771746760201874,2.609,0.071
3198.4,10.037,0.9762123771173772,2.609,0.069,Hod Fm. Top,10.037,0.9762123771173772,2.609,0.069
3198.5,8.748,0.9782261816745259,2.606,0.068,Hod Fm. Top,8.748,0.9782261816745259,2.606,0.068
3198.6,9.243,0.97483395504854,2.601,0.067,Hod Fm. Top,9.243,,2.601,
3198.7,10.262,0.9788649843476569,2.598,0.066,Hod Fm. Top,10.262,0.9788649843476569,2.598,0.066
3198.8,10.179,0.9809119377768436,2.597,0.064,Hod Fm. Top,,0.9809119377768436,2.597,0.064
3198.9,9.569,0.9754777631658746,2.597,0.064,Hod Fm. Top,9.569,,2.597,0.064
3199.0,9.001,0.9619428831413872,2.596,0.065,Hod Fm. Top,9.001,0.9619428831413872,2.596,
3199.1,7.858,0.9555915504057244,2.594,0.068,Hod Fm. Top,,0.9555915504057244,2.594,0.068
3199.2,7.385,0.9572719799929429,2.592,0.071,Hod Fm. Top,,0.9572719799929429,2.592,0.071
3199.3,7.948,0.9538079976653072,2.591,0.071,Hod Fm. Top,,0.9538079976653072,2.591,0.071
3199.4,8.522,0.9568404901592334,2.593,0.073,Hod Fm. Top,8.522,0.9568404901592334,2.593,0.073
3199.5,8.955,0.9526471697589431,2.598,0.073,Hod Fm. Top,8.955,0.9526471697589431,2.598,0.073
3199.6,9.154,0.9484618700612836,2.603,0.072,Hod Fm. Top,,0.9484618700612836,2.603,0.072
3199.7,9.556,0.9441864612836874,2.607,0.072,Hod Fm. Top,9.556,0.9441864612836874,2.607,0.072
3199.8,9.4,0.9398685444595097,2.608,0.072,Hod Fm. Top,9.4,0.9398685444595097,2.608,0.072
3199.9,9.171,0.9291633832050644,2.607,0.073,Hod Fm. Top,,0.9291633832050644,2.607,0.073
3200.0,9.348,0.92069713446992,2.605,0.075,Hod Fm. Top,9.348,,2.605,0.075
3200.1,9.362,0.9185021396361738,2.602,0.077,Hod Fm. Top,9.362,0.9185021396361738,2.602,0.077
3200.2,9.545,0.9162959945631309,2.599,0.078,Hod Fm. Top,9.545,0.9162959945631309,2.599,0.078
3200.3,11.153,0.9141315126308938,2.594,0.079,Hod Fm. Top,11.153,0.9141315126308938,2.594,0.079
3200.4,12.592,0.9119561890726869,2.589,0.078,Hod Fm. Top,,0.9119561890726869,2.589,0.078
3200.5,12.644,0.9243309847086784,2.587,0.075,Hod Fm. Top,,0.9243309847086784,2.587,0.075
3200.6,13.029,0.919078092376074,2.589,0.074,Hod Fm. Top,13.029,0.919078092376074,2.589,0.074
3200.7,13.167,0.9189734304929542,2.594,0.074,Hod Fm. Top,13.167,0.9189734304929542,2.594,0.074
3200.8,13.246,0.9191304138606144,2.599,0.075,Hod Fm. Top,,0.9191304138606144,2.599,0.075
3200.9,13.015,0.9098768179903928,2.603,0.076,Hod Fm. Top,13.015,0.9098768179903928,2.603,0.076
3201.0,13.116,0.9259821003271032,2.604,0.077,Hod Fm. Top,13.116,0.9259821003271032,2.604,0.077
3201.1,13.837,0.9358094538099329,2.601,0.077,Hod Fm. Top,,0.9358094538099329,2.601,0.077
3201.2,13.227,0.9431481293585628,2.599,0.078,Hod Fm. Top,,0.9431481293585628,2.599,0.078
3201.3,13.795,0.9472376078706664,2.598,0.079,Hod Fm. Top,,0.9472376078706664,2.598,0.079
3201.4,14.341,0.9400680137393526,2.601,0.078,Hod Fm. Top,,0.9400680137393526,2.601,0.078
3201.5,14.353,0.9098768179903928,2.604,0.08,Hod Fm. Top,14.353,0.9098768179903928,2.604,
3201.6,16.054,0.9078411425829446,2.606,0.081,Hod Fm. Top,16.054,0.9078411425829446,2.606,0.081
3201.7,18.135,0.9100371235530508,2.604,0.081,Hod Fm. Top,18.135,0.9100371235530508,2.604,0.081
3201.8,20.566,0.9115837009810758,2.602,0.081,Hod Fm. Top,20.566,,2.602,0.081
3201.9,20.735,0.919548758968848,2.602,0.079,Hod Fm. Top,20.735,0.919548758968848,2.602,0.079
3202.0,19.704,0.9287542021766533,2.605,0.075,Hod Fm. Top,19.704,0.9287542021766533,2.605,0.075
3202.1,17.959,0.9373674175172896,2.608,0.069,Hod Fm. Top,17.959,,2.608,0.069
3202.2,15.662,0.9451730461739001,2.61,0.064,Hod Fm. Top,,0.9451730461739001,2.61,0.064
3202.3,13.52,0.9569843677427602,2.612,0.06,Hod Fm. Top,13.52,0.9569843677427602,2.612,0.06
3202.4,10.747,0.9672202597829673,2.614,0.059,Hod Fm. Top,10.747,,2.614,0.059
3202.5,9.619,0.9623693356700211,2.617,0.059,Hod Fm. Top,9.619,0.9623693356700211,2.617,0.059
3202.6,8.816,0.9620850805173599,2.618,0.061,Hod Fm. Top,8.816,0.9620850805173599,2.618,0.061
3202.7,8.262,0.9648251178833888,2.616,0.064,Hod Fm. Top,,0.9648251178833888,2.616,0.064
3202.8,8.138,0.9640237928400335,2.611,0.068,Hod Fm. Top,,0.9640237928400335,2.611,0.068
3202.9,8.138,0.9629845843169971,2.604,0.07,Hod Fm. Top,,0.9629845843169971,2.604,0.07
3203.0,9.435,0.9604232070778295,2.6,0.07,Hod Fm. Top,9.435,,2.6,0.07
3203.1,10.003,0.9544837171555521,2.598,0.069,Hod Fm. Top,10.003,0.9544837171555521,2.598,0.069
3203.2,9.591,0.9474337218870508,2.598,0.069,Hod Fm. Top,9.591,0.9474337218870508,2.598,0.069
3203.3,9.745,0.9407654356312175,2.599,0.068,Hod Fm. Top,9.745,0.9407654356312175,2.599,0.068
3203.4,9.739,0.929521100631104,2.601,0.068,Hod Fm. Top,9.739,0.929521100631104,2.601,0.068
3203.5,9.561,0.9347004017154249,2.604,0.068,Hod Fm. Top,9.561,,2.604,0.068
3203.6,8.704,0.9365137424788933,2.605,0.066,Hod Fm. Top,8.704,0.9365137424788933,2.605,0.066
3203.7,7.853,0.9349527078178581,2.604,0.064,Hod Fm. Top,,,2.604,0.064
3203.8,7.555,0.9334872878487055,2.601,0.063,Hod Fm. Top,,,2.601,0.063
3203.9,6.956,0.9258275746247423,2.599,0.062,Hod Fm. Top,,0.9258275746247423,2.599,0.062
3204.0,6.327,0.9136549350866199,2.6,0.061,Hod Fm. Top,,0.9136549350866199,2.6,0.061
3204.1,6.508,0.9146075677710805,2.603,0.061,Hod Fm. Top,,,2.603,0.061
3204.2,6.104,0.9012403020733092,2.606,0.062,Hod Fm. Top,,0.9012403020733092,2.606,0.062
